# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=turkish,Türkçe
	ICON=Icons/turkish.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_NS=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_PS4=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_PS4=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_XB1=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_XB1=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_PC=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_PC=
		Bu simge görüntülendiğinde
		bilgisayarınızı kapatmayın

# Main Menu
	MENU_DEBUG=		~DEBUG~
	KEY_CONFIG_LEFT=		Sol
	KEY_CONFIG_RIGHT=		Sağ
	KEY_CONFIG_UP=			Yukarı
	KEY_CONFIG_DOWN=		Aşağı
	KEY_CONFIG_GAMEPLAY=	EYLEMLER
	KEY_CONFIG_JUMP=		Zıplama
	KEY_CONFIG_DASH=		Sıçrama
	KEY_CONFIG_GRAB=		Tutma
	KEY_CONFIG_TALK=		Konuşma
	KEY_CONFIG_MENUS=		MENÜ
	KEY_CONFIG_CONFIRM=		Onayla
	KEY_CONFIG_CANCEL=		İptal Et
	KEY_CONFIG_PAUSE=		Duraklat
	KEY_CONFIG_JOURNAL=		Günlük
	KEY_CONFIG_QUICKRESTART=Hemen Başa Sar
	KEY_CONFIG_RESET=		Ayarları sıfırla
	KEY_CONFIG_CHANGING=	DEĞİŞTİRECEĞİN TUŞA BAS

# CONTROLLER CONFIG
	BTN_CONFIG_TITLE=		Oyun Kolu Ayarları
	BTN_CONFIG_INFO=		EKLEMEK İÇİN | DÜĞMESİNE, TEMİZLEMEK İÇİN | DÜĞMESİNE BAS
	BTN_CONFIG_CHANGING=	DEĞİŞTİRECEĞİN DÜĞMEYE BAS
	BTN_CONFIG_NOCONTROLLER=Lütfen oyun kolunu bağla

# PICO-8
	PICO8_UNLOCKED=			Artık Ana Menüden oynanabilir
	PICO8_PAUSE_TITLE=		DURAKLATILDI
	PICO8_PAUSE_CONTINUE=	Devam Et
	PICO8_PAUSE_RESTART=	PICO-8'i Sıfırla
	PICO8_PAUSE_QUIT=		PICO-8'den Çık

# FILE MENU
	FILE_DEFAULT=		Madeline
	FILE_CORRUPTED=		Kayıt Bozuldu :(
	FILE_FAILEDTOLOAD=	Yüklenemedi
	FILE_NEWGAME=		Yeni Oyuna Başla!
	FILE_CONTINUE=		Devam Et
	FILE_DELETE=		Sil
	FILE_BEGIN=			Başla
	FILE_ASSIST_OFF=	Destek Modu : OFF
	FILE_ASSIST_ON=		Destek Modu : ON
	FILE_VARIANT_OFF=	Yıldız Modu : OFF
	FILE_VARIANT_ON=	Yıldız Modu : ON
	FILE_RENAME=		İsmini Değiştir
	FILE_DELETE_REALLY=	Emin Misin?
	FILE_DELETE_NO=		İptal Et
	FILE_DELETE_YES=	Sil
	FILE_DELETE_FAILED=	Kayıt Silinemedi!

# Assist Mode
	ASSIST_MODE_0=
		{# 44adf7}Destek Modu{#} kendi özel ihtiyaçlarına göre{n}
		oyunun kurallarını değiştirmeni sağlar.
	ASSIST_MODE_1=
		Buna oyunun hızını yavaşlatma,{n}
		hasar almamayı garantileme veya sonsuz dayanıklılık{n}
		ve bölümü tamamen atlama gibi seçenekler dahildir.
	ASSIST_MODE_2=
		Celeste'nin zorlu ve ödüllendirici bir deneyim olması amaçlanmıştır.{n}
		Oyunu bu haliyle oynamak senin için mümkün değilse,{n} 
		umuyoruz ki {# 44adf7}Destek Modu{#} ile de bu deneyimi yaşayabilirsin.
	ASSIST_ASK=		{# 44adf7}Destek Modu{#} ile oynamak istediğinize emin misin?
	ASSIST_YES=		Evet
	ASSIST_NO=		Hayır
	ASSIST_SKIP=	Destek{n}Geç

# File Naming
	NAME_LETTERS=
		ABCDEFGHI abcdefghi
		JKLMNOPQR jklmnopqr
		STUVWXYZ  stuvwxyz
		1234567890+=:~!@$%
		^&*_-#"'()<>/\.,|`

	NAME_SPACE=			boşluk
	NAME_BACKSPACE=		silme
	NAME_ACCEPT=		ONAYLA
	NAME_BACK=			İPTAL ET

# Xbox One Stuff
	XB1_MENU_SWITCH_PROFILE=	Profili Değiştir
	XB1_SIGN_OUT_MESSAGE=		Bir oturum değişikliği meydana geldi. Lütfen tekrar oturum aç ya da ana menüye geri dön.
	XB1_SIGN_IN=				Oturum Aç
	XB1_RECONNECT_CONTROLLER=	Devam etmek için oyun kolunu tekrar bağla.

# Intro Vignette
	INTRO_VIGNETTE_RESUME=	Devam Et
	INTRO_VIGNETTE_SKIP=	Atla
	INTRO_VIGNETTE_QUIT=	Çık

# Overworld
	OVERWORLD_START=			Başla
	OVERWORLD_NORMAL=			TIRMAN
	OVERWORLD_INTERLUDE=		BAŞLA
	OVERWORLD_REMIX=			B-YÜZÜ
	OVERWORLD_REMIX2=			C-YÜZÜ
	OVERWORLD_REMIX_UNLOCKED=	B-Yüzü Kilidi Açıldı!
	OVERWORLD_REMIX_UNLOCKED2=	C-Yüzü Kilidi Açıldı!

# Chapter Titles
	AREA_CHAPTER=	Bölüm {x}
	AREA_0=			Giriş
	AREA_1=			Terkedilmiş Şehir
	AREA_2=			Eski Yerleşim Yeri
	AREA_3=			Göksel Dinlenme Tesisi
	AREA_4=			Altın Yükselti
	AREA_5=			Ayna Tapınağı
	AREA_6=			Yansıma
	AREA_7=			Zirve
	AREA_8=			Sonuç
	AREA_9=			Çekirdek
	AREA_10=		Veda

# Checkpoints
	CHECKPOINT_1_0=		Geçit
	CHECKPOINT_1_1=		Yarık

	CHECKPOINT_2_0=		Müdahale
	CHECKPOINT_2_1=		Uyanış

	CHECKPOINT_3_0=		Büyük Dağınıklık
	CHECKPOINT_3_1=		Asansör Boşluğu
	CHECKPOINT_3_2=		Kral Dairesi

	CHECKPOINT_4_0=		Tapınak
	CHECKPOINT_4_1=		Eski Patika
	CHECKPOINT_4_2=		Uçurum

	CHECKPOINT_5_0=		Derinlikler
	CHECKPOINT_5_1=		Çözülüyor
	CHECKPOINT_5_2=		Arayış
	CHECKPOINT_5_3=		Kurtarma

	CHECKPOINT_6_0=		Göl
	CHECKPOINT_6_1=		Oyuklar
	CHECKPOINT_6_2=		Yansıma
	CHECKPOINT_6_3=		Dibe Batış
	CHECKPOINT_6_4=		Çözüm

	CHECKPOINT_7_0=		500 M
	CHECKPOINT_7_1=		1000 M
	CHECKPOINT_7_2=		1500 M
	CHECKPOINT_7_3=		2000 M
	CHECKPOINT_7_4=		2500 M
	CHECKPOINT_7_5=		3000 M

	CHECKPOINT_8_0=		Çekirdeğe Doğru
	CHECKPOINT_8_1=		Sıcak ve Soğuk
	CHECKPOINT_8_2=		Dağın Kalbi

	CHECKPOINT_9_0=		Tekil
	CHECKPOINT_9_1=		Güç Kaynağı
	CHECKPOINT_9_2=		Hatırlanan
	CHECKPOINT_9_3=		Olay Ufku
	CHECKPOINT_9_4=		Kararlılık
	CHECKPOINT_9_5=		İnatçılık
	CHECKPOINT_9_6=		Uzlaşma
	CHECKPOINT_9_7=		Elveda

# B-Side Checkpoints
	CHECKPOINT_1H_0=	Mekanizma
	CHECKPOINT_1H_1=	Hurda Çukuru

	CHECKPOINT_2H_0=	Şifreli Kilit
	CHECKPOINT_2H_1=	Rüya Sunağı

	CHECKPOINT_3H_0=	Personel Daireleri
	CHECKPOINT_3H_1=	Kütüphane
	CHECKPOINT_3H_2=	Çatı Katı

	CHECKPOINT_4H_0=	Basamak Taşları
	CHECKPOINT_4H_1=	Fırtınalı Kanyon
	CHECKPOINT_4H_2=	Fırtınanın Merkezi

	CHECKPOINT_5H_0=	Merkez Oda
	CHECKPOINT_5H_1=	Aynanın İçinden
	CHECKPOINT_5H_2=	Karışım Ustası

	CHECKPOINT_6H_0=	Yansıma
	CHECKPOINT_6H_1=	Dibe Batış
	CHECKPOINT_6H_2=	Erteleme

	CHECKPOINT_7H_0=	500 M
	CHECKPOINT_7H_1=	1000 M
	CHECKPOINT_7H_2=	1500 M
	CHECKPOINT_7H_3=	2000 M
	CHECKPOINT_7H_4=	2500 M
	CHECKPOINT_7H_5=	3000 M

	CHECKPOINT_8H_0=	Çekirdeğe Doğru
	CHECKPOINT_8H_1=	Yanma ya da Donma
	CHECKPOINT_8H_2=	Kalp Atışı

# Postcards
	POSTCARD_AREA_1=
		Duraklatma menüsünde {#ff1144}Kaydet ve Çık{#}'a basarak istediğin zaman oyuna ara verebilirsin. Geri döndüğünde ilerleme kaybetmeden, aynı ekrandan devam edeceksin!

	POSTCARD_AREA_2=
		{#ff1144}Çilekler{#} arkadaşlarını etkileyecektir ama o sadece kadar. Sadece gerçekten istiyorsan topla!

	POSTCARD_AREA_3=
		{#ff1144}Ölüm Sayı{#}'ın ile gurur duy!{n}Ne kadar ölürsen o kadar öğrenirsin.{n}Böyle devam et!

	POSTCARD_AREA_4=
		{# F94A4A}Tırmanış Taktiği!{#}{n}Son anda dayanıklılığın mı bitti?{n}{n}Duvardan duvara atlamak{n}dayanıklığını tüketmeyektir!

	POSTCARD_AREA_5=
		{# F94A4A}Biliyor musun?{#}{n}Çoğu tırmanış kazaları{n}yorgunluk yüzünden meydana gelir.{n}{n}Düzenli olarak ara vermeyi unutma!

	POSTCARD_AREA_6=
		{# F94A4A}Biliyor musun?{#}{n}{n}Kendi yansımandan kaçmak imkansızdır.

	POSTCARD_CSIDES=
		Gerçek bir zorluğa hazır mısın?{n}{n}{# F94A4A}C-Yüzü Bölümlerinin{#} kilidi açıldı ve{n}{# dbb63f}Altın Çilekler{#} bütün bölümlerin{n}başında ortaya çıktı!{n}{n}İyi şanslar, {+MADELINE}!

	POSTCARD_VARIANTS=
		Vay, başardın!{n}{n}{# 9B3FB5}Yıldızlar{#} artık Kayıt Seçim Menüsünden erişilebilir.

# Journal
	JOURNAL_OF=
	JOURNAL_PROGRESS=				İLERLEME
	JOURNAL_SPEEDRUNS=				KAYITLAR:{n}SPEEDRUN'LAR
	JOURNAL_DASHES=					KAYITLAR:{n}EN AZ SIÇRAMA
	JOURNAL_DEATHS=					KAYITLAR:{n}EN AZ ÖLÜM
	JOURNAL_POEM=					KRİSTAL KALPLER
	JOURNAL_MODE_NORMAL=			TEMİZ
	JOURNAL_MODE_NORMAL_FULLCLEAR=	TAMAMEN TEMİZ
	JOURNAL_MODE_BSIDE=				B-YÜZÜ
	JOURNAL_MODE_CSIDE=				C-YÜZÜ
	JOURNAL_TOTALS=					TOPLAMLAR
	JOURNAL_GRANDTOTAL=				GENEL TOPLAM

# Stats
	STATS_TITLE=			Küresel Steam İstatistikleri
	STAT_BERRIES=			Çilekler
	STAT_DEATHS=			Ölümler
	STAT_DASHES=			Seçramalar
	STAT_GOLDBERRIES=		Altın Yemişler
	STAT_PICO_BERRIES=		PICO-8 Çilekleri
	STAT_PICO_DEATHS=		PICO-8 Ölümleri
	STAT_PICO_COMPLETES=	PICO-8 Tamamlamaları

# Saving / Loading Failed
	SAVEFAILED_TITLE=	KAYDEDİLEMİYOR
	SAVEFAILED_RETRY=	Tekrar Dene
	SAVEFAILED_IGNORE=	Kaydetmeden Devam Et
	LOADFAILED_TITLE=	YÜKLENEMİYOR
	LOADFAILED_GOBACK=	Geri Dön
	LOADFAILED_IGNORE=	Kaydetmeden Devam Et

# Tutorial
	TUTORIAL_CLIMB=		TIRMAN
	TUTORIAL_HOLD=		TUTUN
	TUTORIAL_DASH=		SIÇRA
	TUTORIAL_DREAMJUMP=	ZIPLA
	TUTORIAL_CARRY=		TAŞI

# Area Complete
	AREACOMPLETE_NORMAL=				Bölüm Tamamlandı
	AREACOMPLETE_NORMAL_FULLCLEAR=		Bölüm Temizlendi
	AREACOMPLETE_BSIDE=					B-Yüzü Tamamlandı
	AREACOMPLETE_CSIDE=					C-Yüzü Tamamlandı
	MOUNTAIN_COMPLETE_NORMAL=			Tamamlandı
	MOUNTAIN_COMPLETE_NORMAL_FULLCLEAR=	Temizlendi
	MOUNTAIN_COMPLETE_BSIDE=			B-Yüzü Tamamlandı
	MOUNTAIN_COMPLETE_CSIDE=			C-Yüzü Tamamlandı

# Game Paused
	MENU_PAUSE_TITLE=			DURAKLATILDI
	MENU_PAUSE_RESUME=			Devam Et
	MENU_PAUSE_SKIP_CUTSCENE=	Sahneyi Geç
	MENU_PAUSE_RETRY=			Tekrarla
	MENU_PAUSE_ASSIST=			Destek Ayarları
	MENU_PAUSE_VARIANT=			Yıldızlar
	MENU_PAUSE_OPTIONS=			Ayarlar
	MENU_PAUSE_RESTARTAREA=		Bölümü Başa Sar
	MENU_PAUSE_SAVEQUIT=		Kaydet ve Çık
	MENU_PAUSE_RETURN=			Haritaya Geri Dön
	MENU_PAUSE_RESTARTDEMO=		Demoyu Başa Sar
	MENU_RETURN_TITLE=			HARİTAYA GERİ DÖNECEK MİSİN?
	MENU_RETURN_CONTINUE=		Evet
	MENU_RETURN_CANCEL=			İptal Et
	MENU_RETURN_INFO=			Haritaya geri dönmek ilerleyişini kaydeder{n}
								ancak son kontrol noktasından devam edebileceksin.
	MENU_RESTART_TITLE=			BÖLÜMÜ BAŞA SARACAK MISIN?
	MENU_RESTART_CONTINUE=		Evet
	MENU_RESTART_CANCEL=		İptal Et

# Assist UI
	MENU_ASSIST_TITLE=					DESTEK MODU
	MENU_ASSIST_SUBTITLE=				Destek Modu
	MENU_ASSIST_GAMESPEED=				Oyun Hızı
	MENU_ASSIST_INVINCIBLE=				Hasar Almazlık
	MENU_ASSIST_AIR_DASHES=				Havada Sıçramalar
	MENU_ASSIST_DASH_ASSIST=			Sıçrama Desteği
	MENU_ASSIST_AIR_DASHES_NORMAL=		Varsayılan
	MENU_ASSIST_AIR_DASHES_TWO=			2
	MENU_ASSIST_AIR_DASHES_INFINITE=	Sonsuz
	MENU_ASSIST_INFINITE_STAMINA=		Sonsuz Dayanıklılık

# Variant UI
	MENU_VARIANT_TITLE=					YILDIZLAR
	MENU_VARIANT_SUBTITLE=				Yıldızlar
	MENU_VARIANT_MIRROR=				Ayna Modu
	MENU_VARIANT_360DASHING=			360 Derece Sıçrama
	MENU_VARIANT_INVISMOTION=			Görünmez Hareket
	MENU_VARIANT_PLAYASBADELINE=		Diğer Benlik
	MENU_VARIANT_NOGRABBING=			Tutunmak Yok
	MENU_VARIANT_LOWFRICTION=			Düşük Sürtünme
	MENU_VARIANT_SUPERDASHING=			Süper Sıçrama
	MENU_VARIANT_HICCUPS=				Hıçkırıklar

# Misc UI
	UI_CUTSCENE_SKIP=	Atla
	UI_REMIX_UNLOCKED=	B-Yüzü Kilidi Açıldı
	UI_CANCEL=			Geri
	UI_CONFIRM=			Onayla
	UI_QUICK_RESTART_TITLE=Hızlıca Başa Sar: 
	UI_QUICK_RESTART_HOLD=Basılı Tut
	UI_QUICK_RESTART_PRESS=Bas

# B SIDES
	REMIX_BY=			Müzik
	REMIX_ALBUM=		Celeste B-Yüzü

	AREA_1_REMIX=		(Ufuk Çizgisini Böl Mix)
	AREA_2_REMIX=		(Kara Ay Doğuşu Mix)
	AREA_3_REMIX=		(İyi Talih Mix)
	AREA_4_REMIX=		(Altın Tüy Mix)
	AREA_5_REMIX=		(Ayna Büyüsü Mix)
	AREA_6_REMIX=		(Dünyanın Merkezi Mix)
	AREA_7_REMIX=		(Artık Kaçmak Yok Mix)
	AREA_9_REMIX=		(Veda Et Mix)

# Credits
	CREDITS_THANKYOU=	Oynadığın için teşekkürler :)

# Names
	THEO=				{# FF9523}Theo{#}
	THEO_UNDER_STARS=	{# FFFF4C}TheoYıldızlarınAltında{#}
	MIXMASTER_THEO=		{# FF9523}Mix Ustası Theo{#}
	MOM=				{# 339CC7}Anne{#}
	MROSHIRO=			{# 7BD838}Bay Oshiro{#}
	OSHIRO=				{# 7BD838}Oshiro{#}
	ELCREEPO=			{# 7BD838}Tuhaf Amca{#}
	MADELINE=			{# F94A4A}{savedata Name}{#}
	MS_MADELINE=		{# F94A4A}Bayan {savedata Name}{#}
	RESORT=				{# b864be}Göksel Dinlenme Tesisi{#}
	THOUGHT=			{# 696a6a}{~}(
	ENDTHOUGHT=			){/~}{#}
	MOUNTAIN=			{# 96EFFF}Dağ{#}
	CELESTE_MOUNTAIN=	{# 96EFFF}Celeste Dağı{#}
	PART_OF_ME=			{# d678db}{~}Bir Parçam{/~}{#}
	PART_OF_YOU=		{# d678db}{~}Bir Parçan{/~}{#}
	ST_BAD=				{# d678db}{~}
	END_BAD=			{/~}{#}
	GRANNY=				{# 66ea3a}Nine{#}
	PART_OF_HER=		{# 66ea3a}{~}Bir Parçası{/~}{#}
	PART_OF_GRANNY=		{# 66ea3a}{~}Ninenin Bir Parçası{/~}{#}

# Theo sister name
# if the player name is the same as this one, theo's sister name becomes the ALT_NAME
	THEO_SISTER_NAME=		Alex
	THEO_SISTER_ALT_NAME=	Maddy
	ALEX=					{# F94A4A}{savedata TheoSisterName}{#}

# ================================== IN-GAME DIALOG BEGINS HERE! ==================================

# *** Prologue ***

	CH0_INTRO=
		İşte bu, {+MADELINE}.
		Sadece nefes al.
		Neden bu kadar gerginsin?

	CH0_GRANNY=
		{anchor top}

		[MADELINE left normal]
		Af edersiniz, hanımefendi?

		{trigger 0 Madeline walks forward}

		[MADELINE left normal]
		Yoldaki tabela kırılmış...{n}burası {+mountain}a giden yol mu?

		[GRANNY right normal]
		Evet, neredeyse vardın.{n}{+mountain} köprünün hemen karşısında.

		{trigger 1 Madeline walks to the right of the house, turns left}
		
		[MADELINE right sad]
		Bu arada, giriş yolu için birini aramalısınız. Bir kaya düştü ve az kalsın ölüyordum.

		{trigger 2 Granny laughs}

		[GRANNY left laugh]
		Eğer benim {>> 0.3}"giriş yolum"{>>}{0.2} seni az kalsın öldürecektiyse,{n}{+mountain} sana biraz fazla gelebilir.

		{trigger 3 Laugh Continues}

		[MADELINE right upset]
		{0.5}...{0.2}

		[MADELINE right angry]
		Aman neyse, {~}sizin gibi{/~} bir moruk bile{n}burada hayatta kaldıysa, bence bana bir şey olmaz.

		{trigger 4 Stop laughing}

		[GRANNY left normal]
		Nasıl istersen.

		{silent_trigger 5 Ominous zoom-in}

		[GRANNY left normal]
		Ama şunu bil ki,{n}{+CELESTE_MOUNTAIN} garip bir yer.

		[GRANNY left creepA]
		Birşeyler görebilirsin.

		[GRANNY left creepB]
		Görmeye hazır olmadığın şeyler.

		{trigger 6 pan to Maddy}

		[MADELINE right upset]
		Yardım almalısınız, hanımefendi.

		{trigger 3 resume laughing}

	CH0_END=
		Bunu yapabilirsin.

# *** Chapter 01 ***

	CH1_THEO_A=
		[THEO left normal]
		Orada dur, yoldaş gezgin!

		[MADELINE right distracted]
		Aa... Merhaba.

		{trigger 0 Madeline approaches}
		
		[THEO left normal]
		Yürüyüş için ne kadar korkunç bir gece!

		[MADELINE right distracted]
		Sanırım öyle.

		[THEO left normal]
		Burası acayip bir yer. 

		[THEO left excited]
		Gerçekten var olduğuna inanamıyorum!

		[MADELINE right sad]
		Tırmanmak çok da kolay değil, değil mi?

		[MADELINE right distracted]
		Ama sanırım aradığım da buydu...
		
		[THEO left normal]
		Vay be, bu bayağı ciddi geliyor.
		Böyle ıssız bir yerde başka birini{n}gördüğüme çok sevindim.

		[THEO left excited]
		Ben {+ theo} bu arada, {>> 0.3}{~}uzak diyarlardan{/~}{>>} bir maceracı!
		
		[MADELINE right sad]
		...{0.2}

		[THEO left thinking]
		Çok konuşkan değilsin, değil mi?

		[THEO left normal]
		Gizemli yalnız kurt tarzı, anladım.{n}Karanlık bir geçmişin olduğunu kabul edeceğim..

	CH1_THEO_B=
		[MADELINE right sad]
		Hey, üzgünüm. Ben {+MADELINE}.
		Kafam epey dolu bu ara.

		[THEO left normal]
		Öyleyse, {+MADELINE}, Bence tam da doğru yere geldin!

		[THEO left thinking]
		Ayak parmaklarım dondu ama sessizce oturmak için{n}buradan daha iyi bir yer hayal edemiyorum.
		
		[MADELINE right sad]
		Evet, galiba haklısın.

		[MADELINE right normal]
		Buraya hangi "{>> 0.5}{~}uzak diyarlardan{/~}{>>}" yelken açtın?
		
		[THEO left excited]
		Peki, benim meraklı yurtdaşım, Ben buraya{n}{0.3}{~}mistik,{0.4} egzotik{/~}{0.4} bir krallık olan...
		
		[THEO left normal]
		{0.4} Seattle'dan geldim.

		[MADELINE right normal]
		Bayağı özel bir yere benziyor.

	CH1_THEO_C=
		[THEO left excited]
		Burası çılgın bir yer!

		[THEO left normal]
		Neden bütün şehri terketmiş olabilirler ki?
		
		[MADELINE right normal]
		Bazı mega şirketlerin burayı inşa ettiğini okumuştum ama sonra kimse burada yaşamak istememiş.

		[MADELINE right distracted]
		Sebebini merak ediyorum...
		
		[THEO left excited]
		Paramı hükümetin konunun üstünü kapatmış olmasına basıyorum.

		[MADELINE right distracted]
		Ne kadar da müsriflik, bu kadar binayı buraya sebepsiz yere dikmek...

		[THEO left normal]
		En azından kalıntıların tadını çıkarıyoruz.

	CH1_THEO_D=
		[MADELINE right normal]
		Şehri keşfetmek için mi buradasın?
		
		[THEO left normal]
		Evet, terk edilmiş yerlerde beni çeken birşey var.
		
		[THEO left thinking]
		Ve kendimi gelişmekte olan{n}bir fotoğrafçı olarak düşünmeden edemiyorum.
		
		[MADELINE right normal]
		Aa, gerçektenmi? Havalı!
		Blog gibi birşeyin var mı?
		
		[THEO left thinking]
		Blog mu?
		{+MADELINE}.
		Artık herkes {# FFFF4C}InstaPix{#} kullanıyor.
		
		[THEO left excited]
		Ben {+THEO_UNDER_STARS}, bul beni!

	CH1_THEO_E=
		[THEO left normal]
		Bu arazi epey zorlayıcı,{n}yakın zamanda geri dönecek misin?
		
		[MADELINE right normal]
		Hayır. Dağın zirvesine çıkacağım.
		
		[THEO left excited]
		Vay, gözlerindeki kararlılığı gerçekten görebiliyorum!

		[THEO left normal]
		İlham verici.

		[MADELINE right distracted]
		Öyle mi dersin?

		[MADELINE right normal]
		Bahse girerim sen de zirveye ulaşabilirsin.

		[THEO left normal]
		Belki de. 
		
		[THEO left thinking]
		Dürüst olmak gerekirse, ben zirveye çıkmakla ilgilenmiyorum.

		[THEO left normal]
		{!}Oo!{/!} Ama duydum ki şehrin ilerisinde {~}gerçek bir{/~}{n}harabe olduğunu duydum.
		
		[THEO left excited]
		1800'lerden kalma hem de. 

		[THEO left normal]
		Riskli olduğunu biliyorum ama kendi gözlerimle görmem gerekiyor.

	CH1_THEO_F=
		[THEO left normal]
		Umarsızca bir şey yapmadan{n}hemen önce ne söyleniyordu?

		[MADELINE right sad]
